CustomerID,Age,Tenure,MonthlyCharges,TotalCharges,Churn,Gender_Male,Service_Internet_Fiber optic,Service_Phone_Yes,Service_TV_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card,PaymentMethod_Electronic check,PaymentMethod_Mailed check,StreamingMovies_Yes,StreamingMusic_Yes,OnlineSecurity_Yes,TechSupport_Yes,TotalServices,MonthlyChargesPerService,TenurePerService
08729464-bde6-43bc-8f63-a357096feab1,0.8480579330532336,-1.1346781169321614,0.03924125012970843,-0.8651228824664958,No,True,False,True,False,True,False,False,False,True,False,False,True,False,1,0.06858127840439435,-1.8466226281577391
af95bc95-baf4-4318-a21d-70d2ea3148b7,1.742395258233704,-1.1346781169321614,1.323960344091002,-0.5900692905803772,No,True,False,False,True,False,True,False,False,True,True,True,False,False,1,2.179965345900562,-1.8466226281577391
1fe7eee6-2227-4400-9998-4d993f4a60fd,0.16010614445287163,1.1576925016146542,1.5128413154609186,2.3624166290008004,No,True,True,False,True,False,False,False,False,True,True,True,False,False,2,1.2472367384673144,0.9395053126365891
f736fe7b-1b44-4acd-84c2-21c4aef648be,-0.8030263595876351,1.0113709727712406,0.24553211973024341,1.0080316095503425,No,False,True,True,True,False,False,False,False,False,False,True,False,True,3,0.13859724687250102,0.5464732183388242
4b40d12d-7633-4309-96b8-aee675ea20ae,1.1232386484933785,0.7675017580322177,-1.3256290734216016,-0.5255476566595895,No,True,True,True,True,False,True,False,True,False,True,False,True,True,3,-0.7221161252262093,0.4142990775492368
0fece405-89c9-44a4-9ffb-29e55a4bbf55,-1.2845926116078883,0.8162756009800222,0.2182675621238034,0.8247086592432044,No,False,True,True,True,False,False,False,False,False,True,False,True,False,3,0.12366117957494874,0.4407339057071542
8f55fd3f-ddad-4da9-9531-e0934968f712,-0.39025528642741786,0.32853717150197637,0.2980903030679597,0.46818765921038,No,True,True,True,False,False,True,False,False,True,True,False,False,False,2,0.2490395661839052,0.26541719460969326
b4db2101-be85-4048-8201-659b9f3345a9,0.8480579330532336,0.27976332855417174,0.9274745485371078,0.8495660084373926,No,True,False,False,True,False,False,False,False,False,False,True,False,False,1,1.5283569159675852,0.45320742158108235
28177481-3920-402e-bb98-7ab632e9111f,-0.5278456441474904,-0.5006181586107017,-1.506626317290861,-1.0081696912068516,No,False,False,True,True,False,False,False,True,False,False,False,True,True,2,-1.2339499591068064,-0.40867092341720274
a257f4af-3ca6-47c3-ae28-3e315a7b8b0f,-0.2526649287073455,-0.6469396874541155,-0.13321528894717188,-0.5431638131625769,No,True,True,True,True,False,True,False,False,True,False,True,False,False,3,-0.06888812173084687,-0.3523109390303704
af6d4c2c-f822-4452-9698-4c4d0f97296d,-1.07820707502778,0.32853717150197637,1.3663353794070356,1.2099284053277097,No,False,True,True,True,False,False,False,True,False,True,False,True,True,3,0.7525955796345334,0.17638562412797937
e6ac1636-1be7-4c55-9fdc-1f7600aec1be,-1.07820707502778,-0.40307047271509244,1.5913501018216316,0.415328548712893,No,False,True,True,False,False,True,True,False,False,False,False,True,False,2,1.311749752035658,-0.32936643894345025
6c816236-6cf6-4bec-b897-68f8c1a4b599,-0.18386974984730936,-1.3297734887233799,-1.0362305764183035,-1.180016335389875,No,True,False,False,True,False,True,False,False,True,False,False,True,False,1,-1.698913336011983,-2.163840566052749
691ba5bc-0d3d-479d-89e3-13e7764480a5,0.641672396473125,-0.7932612162975292,1.1948643062677375,-0.22625389291372716,No,False,True,True,True,False,True,True,False,False,True,True,False,False,3,0.6586603130161921,-0.4316154235041229
d4ddceb0-0996-4428-b87c-349538d8924b,0.9168531119132698,0.962597129823436,-1.18437895570149,-0.3292214183750124,No,True,False,False,True,False,False,False,False,True,False,False,False,False,1,-1.9423892282238906,1.563470204213617
6dee6bf9-191d-44f5-9be0-ea333d0a78a5,-0.18386974984730936,0.13344179971075792,1.0982886443846844,0.7995161189104816,No,True,False,False,True,True,False,False,True,False,False,False,True,True,1,1.8090830001143525,0.21529396815982488
79ae2894-25ed-40a7-bb43-c8e4b588954e,-1.6285685059080697,0.718727915084413,-0.7540588296239411,-0.062451836055535566,No,False,True,True,True,False,True,False,False,True,True,True,True,False,3,-0.4089985698317381,0.3878642493913193
44a0183a-79fa-496e-a5fe-7f6402f3ffae,-0.32146010756738164,-1.183451959879966,1.487219201083782,-0.6239182750781137,No,True,False,True,True,True,False,False,True,False,True,False,False,False,2,1.2261822821563066,-0.9638023147334699
cedd9b62-f616-4b38-ba46-c5901a4b17d9,-1.6973636847681055,0.9138232868756314,0.6196806873656088,1.2601325891882318,No,False,True,False,False,True,False,True,False,False,True,False,False,True,1,1.0225101066492752,1.4841657197398646
